order_id	quantity	item_name	choice_description	item_price
667	1	Barbacoa Bowl	"[[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Cheese, Lettuce]]"	$8.99
676	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Lettuce]]"	$9.25
705	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
730	1	Barbacoa Bowl	"[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
795	1	Barbacoa Bowl	[Tomatillo Red Chili Salsa]	$9.25
812	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Black Beans, Cheese, Sour Cream, Guacamole]]"	$11.75
836	1	Barbacoa Bowl	"[Tomatillo Green Chili Salsa, [Fajita Vegetables, Pinto Beans, Sour Cream, Guacamole, Lettuce]]"	$11.75
907	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream]]"	$9.25
945	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
953	1	Barbacoa Bowl	"[Roasted Chili Corn Salsa, [Cheese, Lettuce]]"	$9.25
1000	1	Barbacoa Bowl	"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]"	$9.25
1041	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Rice, Black Beans, Sour Cream, Lettuce]]"	$9.25
1059	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
1091	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
1097	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]"	$11.75
1112	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]"	$9.25
1200	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]"	$11.75
1203	1	Barbacoa Bowl	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Guacamole]]"	$11.75
1278	1	Barbacoa Bowl	"[Fresh Tomato (Mild), [Lettuce, Black Beans, Rice]]"	$8.69
1299	1	Barbacoa Bowl	"[[Tomatillo-Red Chili Salsa (Hot), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Fajita Veggies, Lettuce]]"	$8.99
1303	1	Barbacoa Bowl	"[Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
1356	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese]]"	$9.25
1361	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
1426	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
1426	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]"	$9.25
1533	1	Barbacoa Bowl	"[Fresh Tomato (Mild), [Lettuce, Rice, Cheese]]"	$8.69
1619	1	Barbacoa Bowl	"[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Guacamole]]"	$11.75
1624	1	Barbacoa Bowl	"[[Rice, Cheese]]"	$8.69
1655	1	Barbacoa Bowl	"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]"	$9.25
1657	1	Barbacoa Bowl	"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
1748	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]"	$11.75
1770	1	Barbacoa Bowl	"[Tomatillo Green Chili Salsa, [Rice, Cheese, Guacamole, Lettuce]]"	$11.75
1786	1	Barbacoa Bowl	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Guacamole, Lettuce]]"	$11.75
1793	1	Barbacoa Bowl	[Guacamole]	$11.49
1825	1	Barbacoa Bowl	"[Roasted Chili Corn Salsa, [Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole]]"	$11.75
11	1	Barbacoa Burrito	"[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
36	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]"	$9.25
53	1	Barbacoa Burrito	"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese, Lettuce]]"	$9.25
57	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]"	$11.75
65	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]"	$11.75
98	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
108	1	Barbacoa Burrito	"[[Tomatillo-Red Chili Salsa (Hot), Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium)], [Rice, Pinto Beans, Cheese]]"	$8.99
146	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Guacamole, Lettuce]]"	$11.75
163	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Lettuce, Guacamole]]"	$11.75
167	1	Barbacoa Burrito	"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
172	1	Barbacoa Burrito	"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
195	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
210	1	Barbacoa Burrito	"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Lettuce]]"	$9.25
226	1	Barbacoa Burrito	"[Tomatillo Green Chili Salsa, [Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce]]"	$9.25
231	1	Barbacoa Burrito	"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Cheese, Lettuce]]"	$9.25
232	1	Barbacoa Burrito	[Roasted Chili Corn Salsa]	$9.25
235	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole]]"	$11.75
236	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]"	$9.25
240	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese]]"	$9.25
248	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Lettuce, Guacamole]]"	$11.75
254	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
296	1	Barbacoa Burrito	"[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
299	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]"	$9.25
306	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole]]"	$11.75
312	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]"	$9.25
352	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Sour Cream, Cheese]]"	$9.25
352	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Black Beans, Sour Cream, Cheese]]"	$9.25
354	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Lettuce]]"	$9.25
363	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream]]"	$9.25
367	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
374	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole, Lettuce]]"	$11.75
403	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Cheese, Sour Cream]]"	$8.99
434	1	Barbacoa Burrito	"[Tomatillo Green Chili Salsa, [Rice, Pinto Beans, Cheese, Guacamole]]"	$11.75
454	1	Barbacoa Burrito	"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream]]"	$8.99
463	1	Barbacoa Burrito	"[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
475	1	Barbacoa Burrito	"[Tomatillo Green Chili Salsa, [Rice, Black Beans, Sour Cream, Cheese]]"	$9.25
488	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Rice, Cheese]]"	$9.25
491	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Rice, Pinto Beans, Guacamole, Lettuce]]"	$11.75
530	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
623	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Lettuce]]"	$8.99
624	1	Barbacoa Burrito	"[[Fresh Tomato Salsa (Mild), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Cheese, Sour Cream]]"	$8.99
641	1	Barbacoa Burrito	"[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
648	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
666	1	Barbacoa Burrito	"[Fresh Tomato (Mild), [Guacamole, Rice, Black Beans]]"	$11.08
733	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
748	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
858	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Lettuce]]"	$9.25
904	1	Barbacoa Burrito	"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Black Beans, Rice, Cheese, Sour Cream]]"	$8.99
909	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
926	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Lettuce]]"	$9.25
953	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Lettuce]]"	$9.25
953	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]"	$9.25
977	1	Barbacoa Burrito	"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Lettuce]]"	$8.99
1002	1	Barbacoa Burrito	"[[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
1026	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]"	$9.25
1056	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]"	$8.99
1074	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
1079	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]"	$11.75
1106	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Lettuce]]"	$9.25
1167	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Lettuce]]"	$9.25
1178	1	Barbacoa Burrito	"[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
1180	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Lettuce]]"	$9.25
1188	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Lettuce, Guacamole]]"	$11.75
1195	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa (Medium), [Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]"	$8.99
1206	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Guacamole]]"	$11.75
1219	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Cheese, Sour Cream, Lettuce]]"	$9.25
1256	1	Barbacoa Burrito	"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Sour Cream, Lettuce]]"	$8.99
1260	1	Barbacoa Burrito	"[[Black Beans, Rice, Cheese]]"	$8.69
1313	1	Barbacoa Burrito	"[Fresh Tomato Salsa (Mild), [Black Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.48
1323	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Black Beans, Cheese, Sour Cream]]"	$9.25
1341	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]"	$9.25
1360	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
1372	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream]]"	$9.25
1412	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Guacamole]]"	$11.75
1453	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Lettuce]]"	$9.25
1481	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]"	$9.25
1515	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese]]"	$9.25
1520	1	Barbacoa Burrito	"[Tomatillo Green Chili Salsa, [Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese]]"	$9.25
1527	1	Barbacoa Burrito	"[Tomatillo-Green Chili Salsa (Medium), [Rice, Cheese, Sour Cream]]"	$8.99
1529	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]"	$9.25
1534	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Sour Cream, Guacamole]]"	$11.75
1564	1	Barbacoa Burrito	"[Fresh Tomato (Mild), [Black Beans, Rice, Sour Cream, Cheese]]"	$8.69
1603	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream]]"	$9.25
1616	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese]]"	$9.25
1710	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Guacamole]]"	$11.75
1736	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
1739	1	Barbacoa Burrito	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Sour Cream, Guacamole]]"	$11.75
1740	1	Barbacoa Burrito	"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]"	$9.25
1825	1	Barbacoa Burrito	"[Tomatillo Red Chili Salsa, [Rice, Fajita Vegetables, Black Beans, Sour Cream, Cheese, Guacamole]]"	$11.75
1827	1	Barbacoa Burrito	[Tomatillo Green Chili Salsa]	$9.25
1827	1	Barbacoa Burrito	[Tomatillo Green Chili Salsa]	$9.25
768	2	Barbacoa Crispy Tacos	"[Fresh Tomato Salsa, [Sour Cream, Cheese, Rice]]"	$18.50
75	1	Barbacoa Crispy Tacos	"[Tomatillo Red Chili Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]"	$11.75
110	1	Barbacoa Crispy Tacos	"[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce]]"	$9.25
186	1	Barbacoa Crispy Tacos	"[[Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Cheese, Sour Cream, Guacamole]]"	$11.48
205	1	Barbacoa Crispy Tacos	"[Fresh Tomato Salsa, Guacamole]"	$11.75
315	1	Barbacoa Crispy Tacos	"[Fresh Tomato Salsa, [Sour Cream, Lettuce]]"	$9.25
343	1	Barbacoa Crispy Tacos	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Black Beans, Cheese]]"	$9.25
419	1	Barbacoa Crispy Tacos	"[Tomatillo-Red Chili Salsa (Hot), [Black Beans, Cheese, Sour Cream, Lettuce]]"	$8.99
756	1	Barbacoa Crispy Tacos	"[Fresh Tomato Salsa, [Rice, Cheese, Sour Cream]]"	$9.25
1106	1	Barbacoa Crispy Tacos	"[Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]"	$11.75
1330	1	Barbacoa Crispy Tacos	"[[Fresh Tomato Salsa (Mild), Tomatillo-Green Chili Salsa (Medium)], [Pinto Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Lettuce]]"	$8.99
501	1	Barbacoa Salad Bowl	"[Fresh Tomato Salsa, [Rice, Fajita Vegetables, Pinto Beans, Black Beans, Sour Cream, Cheese, Lettuce, Guacamole]]"	$11.89
541	1	Barbacoa Salad Bowl	"[Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]"	$11.89
576	1	Barbacoa Salad Bowl	[Roasted Chili Corn Salsa]	$9.39
576	1	Barbacoa Salad Bowl	[Roasted Chili Corn Salsa]	$9.39
738	1	Barbacoa Salad Bowl	"[Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Lettuce]]"	$9.39
970	1	Barbacoa Salad Bowl	"[Tomatillo Green Chili Salsa, [Rice, Fajita Vegetables, Pinto Beans, Sour Cream, Cheese, Lettuce, Guacamole]]"	$11.89
1283	1	Barbacoa Salad Bowl	"[Tomatillo Red Chili Salsa, [Black Beans, Cheese, Sour Cream, Guacamole]]"	$11.89
1346	1	Barbacoa Salad Bowl	"[Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream]]"	$9.39
1426	1	Barbacoa Salad Bowl	"[Fresh Tomato Salsa, Guacamole]"	$11.89
1751	1	Barbacoa Salad Bowl	"[Tomatillo Green Chili Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Lettuce]]"	$9.39
26	1	Barbacoa Soft Tacos	"[Fresh Tomato Salsa, [Fajita Vegetables, Black Beans, Lettuce]]"	$9.25
82	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]"	$9.25
117	1	Barbacoa Soft Tacos	"[Tomatillo-Red Chili Salsa (Hot), [Pinto Beans, Cheese, Sour Cream, Lettuce]]"	$8.99
252	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]"	$9.25
353	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]"	$9.25
406	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Black Beans, Cheese, Sour Cream, Guacamole]]"	$11.75
467	1	Barbacoa Soft Tacos	"[Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole]]"	$11.75
475	1	Barbacoa Soft Tacos	"[Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Lettuce]]"	$9.25
506	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]"	$9.25
545	1	Barbacoa Soft Tacos	"[Roasted Chili Corn Salsa, [Rice, Cheese, Sour Cream, Guacamole]]"	$11.75
565	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]"	$9.25
663	1	Barbacoa Soft Tacos	"[[Fresh Tomato Salsa (Mild), Roasted Chili Corn Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Pinto Beans, Cheese, Sour Cream, Lettuce]]"	$8.99
675	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]"	$9.25
708	1	Barbacoa Soft Tacos	"[Tomatillo Green Chili Salsa, [Pinto Beans, Sour Cream, Guacamole]]"	$11.75
803	1	Barbacoa Soft Tacos	"[Fresh Tomato Salsa, [Black Beans, Cheese, Lettuce]]"	$9.25
841	1	Barbacoa Soft Tacos	"[Fresh Tomato Salsa, [Rice, Black Beans, Pinto Beans, Cheese, Sour Cream]]"	$9.25
906	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]"	$9.25
910	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]"	$9.25
966	1	Barbacoa Soft Tacos	"[Roasted Chili Corn Salsa, [Cheese, Sour Cream, Guacamole]]"	$11.75
1103	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Rice, Pinto Beans, Cheese, Sour Cream]]"	$9.25
1273	1	Barbacoa Soft Tacos	"[Tomatillo-Red Chili Salsa (Hot), [Rice, Cheese, Guacamole]]"	$11.48
1284	1	Barbacoa Soft Tacos	"[Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]"	$11.75
1426	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Fajita Vegetables, Guacamole, Lettuce]]"	$11.75
1670	1	Barbacoa Soft Tacos	"[Tomatillo Red Chili Salsa, [Rice, Cheese, Sour Cream, Lettuce]]"	$9.25
1703	1	Barbacoa Soft Tacos	"[Roasted Chili Corn Salsa, [Fajita Vegetables, Black Beans, Cheese, Sour Cream, Lettuce]]"	$9.25
193	3	Bowl	"[Braised Carnitas, Pinto Beans, [Sour Cream, Cheese, Cilantro-Lime Rice]]"	$22.20
279	1	Bowl	"[Adobo-Marinated and Grilled Steak, [Sour Cream, Salsa, Cheese, Cilantro-Lime Rice, Guacamole]]"	$7.40
